word,kana,boin,hinshi
755年,ななひゃくごじゅうごねん,アアアウオウウオエン,名詞
757年,ななひゃくごじゅうななねん,アアアウオウウアアエン,名詞
759年,ななひゃくごじゅうきゅうねん,アアアウオウウウウエン,名詞
76.7%,ななじゅうろくてんななぱーせんと,アアウウオウエンアアアアエンオ,名詞
764年,ななひゃくろくじゅうよねん,アアアウオウウウオエン,名詞
765年,ななひゃくろくじゅうごねん,アアアウオウウウオエン,名詞
-2,まいなすに,アイアウイ,名詞
-3,まいなすさん,アイアウアン,名詞
-4,まいなすよん,アイアウオン,名詞
・,・,・,名詞
:植物,しょくぶつ,オウウウ,名詞
？？？,んんん,ンンン,名詞
…。,さいれんす,アイエンウ,名詞
.com,こむ,オウ,名詞
.hack//,どっとはっく,オッオアッウ,名詞
.hack//G.U.,どっとはっくじーゆー,オッオアッウイイウウ,名詞
.hack//XXXX,どっとはっくいくすふォす,オッオアッウイウウオウ,名詞
.hack//黄昏の腕輪伝説,どっとはっくたそがれのうでわでんせつ,オッオアッウアオアエオウエアエンエウ,名詞
.jp,どっとじェいぴー,オッオエイイイ,名詞
.s,どっつ,オッウ,名詞
.S,どっつ,オッウ,名詞
.zip,じっぷ,イッウ,名詞
（）,かっこ,アッオ,名詞
（財）,ざいだんほうじん,アイアンオウイン,名詞
『歴史読本』編集部,れきしどくほんへんしゅうぶ,エイイオウオンエンウウウ,名詞
@ホーム,ほーむ,オオウ,名詞
×3,とりぷる,オイウウ,名詞
□□□,くちろろ,ウイオオ,名詞
○,れい,エイ,名詞
○×,まるばつ,アウアウ,名詞
○本の住人,まるほんのじゅうにん,アウオンオウウイン,名詞
★★★のスペシャリテ,みつぼしのすぺしゃりて,イウオイオウエアイエ,名詞
０,ぜろ,エオ,名詞
〇,れい,エイ,名詞
0時,れいじ,エイイ,名詞
0分,れいふん,エイウン,名詞
1・2の三四郎,いちにのさんしろう,イイイオアンイオウ,名詞
１,いち,イイ,名詞
1/Nのゆらぎ,えぬぶんのいちのゆらぎ,エウウンオイイオウアイ,名詞
1+2=パラダイス,いちたすにはぱらだいす,イイアウイアアアアイウ,名詞
100%,ひゃくぱーせんと,アウアアエンオ,名詞
1000年,せんねん,エンエン,名詞
1001年,せんいちねん,エンイイエン,名詞
100円ショップ,ひゃくえんしょっぷ,アウエンオッウ,名詞
100人,ひゃくにん,アウイン,名詞
100日後に死ぬワニ,ひゃくにちごにしぬわに,アウイイオイイウアイ,名詞
100万,ひゃくまん,アウアン,名詞
100万回きかせてよ,ひゃくまんかいきかせてよ,アウアンアイイアエエオ,名詞
1014年,せんじゅうよんねん,エンウウオンエン,名詞
1017年,せんじゅうななねん,エンウウアアエン,名詞
1019年,せんじゅうきゅうねん,エンウウウウエン,名詞
1028年,せんにじゅうはちねん,エンイウウアイエン,名詞
1051年,せんごじゅういちねん,エンオウウイイエン,名詞
1054年,せんごじゅうよねん,エンオウウオエン,名詞
1066年,せんろくじゅうろくねん,エンオウウウオウエン,名詞
1069年,せんろくじゅうきゅうねん,エンオウウウウウエン,名詞
1073年,せんななじゅうさんねん,エンアアウウアンエン,名詞
107年,ひゃくななねん,アウアアエン,名詞
1083.8hPa,せんはちじゅうさんてんはちへくとぱすかる,エンアイウウアンエンアイエウオアウアウ,名詞
1083年,せんはちじゅうさんねん,エンアイウウアンエン,名詞
1086年,せんはちじゅうろくねん,エンアイウウオウエン,名詞
1087年,せんはちじゅうななねん,エンアイウウアアエン,名詞
1096年,せんきゅうじゅうろくねん,エンウウウウオウエン,名詞
1098年,せんきゅうじゅうはちねん,エンウウウウアイエン,名詞
10DANCE,てんだんす,エンアンウ,名詞
10月,じゅうがつ,ウウアウ,名詞
１０月,じゅうがつ,ウウアウ,名詞
10月10日,じゅうがつとおか,ウウアウオオア,名詞
10月11日,じゅうがつじゅういちにち,ウウアウウウイイイイ,名詞
10月13日,じゅうがつじゅうさんにち,ウウアウウウアンイイ,名詞
10月16日,じゅうがつじゅうろくにち,ウウアウウウオウイイ,名詞
10月17日,じゅうがつじゅうしちにち,ウウアウウウイイイイ,名詞
10月18日,じゅうがつじゅうはちにち,ウウアウウウアイイイ,名詞
10月24日,じゅうがつにじゅうよっか,ウウアウイウウオッア,名詞
オチ,おち,オイ,名詞
10月25日,じゅうがつにじゅうごにち,ウウアウイウウオイイ,名詞
10月27日,じゅうがつにじゅうしちにち,ウウアウイウウイイイイ,名詞
10月28日,じゅうがつにじゅうはちにち,ウウアウイウウアイイイ,名詞
10月29日,じゅうがつにじゅうきゅうにち,ウウアウイウウウウイイ,名詞
10月30日,じゅうがつさんじゅうにち,ウウアウアンウウイイ,名詞
10月31日,じゅうがつさんじゅういちにち,ウウアウアンウウイイイイ,名詞
10種,じゅうしゅ,ウウウ,名詞
10度,じゅうど,ウウオ,名詞
10年,じゅうねん,ウウエン,名詞
10番,じゅうばん,ウウアン,名詞
10分,じゅっぷん,ウッウン,名詞
10万,じゅうまん,ウウアン,名詞
10万分の1,じゅうまんぶんのいち,ウウアンウンオイイ,名詞
1100年,せんひゃくねん,エンアウエン,名詞
1108年,せんひゃくはちねん,エンアウアイエン,名詞
110円,ひゃくじゅうえん,アウウウエン,名詞
1132年,せんひゃくさんじゅうにねん,エンアウアンウウイエン,名詞
1156年,せんひゃくごじゅうろくねん,エンアウオウウオウエン,名詞
1159年,せんひゃくごじゅうきゅうねん,エンアウオウウウウエン,名詞
1167年,せんひゃくろくじゅうななねん,エンアウオウウウアアエン,名詞
1169年,せんひゃくろくじゅうきゅうねん,エンアウオウウウウウエン,名詞
1173年,せんひゃくななじゅうさんねん,エンアウアアウウアンエン,名詞
1175年,せんひゃくななじゅうごねん,エンアウアアウウオエン,名詞
1177年,せんひゃくななじゅうななねん,エンアウアアウウアアエン,名詞
1179年,せんひゃくななじゅうきゅうねん,エンアウアアウウウウエン,名詞
1180年,せんひゃくはちじゅうねん,エンアウアイウウエン,名詞
1181年,せんひゃくはちじゅういちねん,エンアウアイウウイイエン,名詞
1183年,せんひゃくはちじゅうさんねん,エンアウアイウウアンエン,名詞
1184年,せんひゃくはちじゅうよんねん,エンアウアイウウオンエン,名詞
1185年,せんひゃくはちじゅうごねん,エンアウアイウウオエン,名詞
1189年,せんひゃくはちじゅうきゅうねん,エンアウアイウウウウエン,名詞
生み,うみ,ウイ,名詞
118番,ひゃくじゅうはちばん,アウウウアイアン,名詞
1192年,せんひゃくきゅうじゅうにねん,エンアウウウウウイエン,名詞
11期,じゅういっき,ウウイッイ,名詞
11月,じゅういちがつ,ウウイイアウ,名詞
11月10日,じゅういちがつとおか,ウウイイアウオオア,名詞
11月11日,じゅういちがつじゅういちにち,ウウイイアウウウイイイイ,名詞
11月12日,じゅういちがつじゅうににち,ウウイイアウウウイイイ,名詞
11月14日,じゅういちがつじゅうよっか,ウウイイアウウウオッア,名詞
11月15日,じゅういちがつじゅうごにち,ウウイイアウウウオイイ,名詞
11月16日,じゅういちがつじゅうろくにち,ウウイイアウウウオウイイ,名詞
11月17日,じゅういちがつじゅうしちにち,ウウイイアウウウイイイイ,名詞
11月18日,じゅういちがつじゅうはちにち,ウウイイアウウウアイイイ,名詞
11月19日,じゅいちがつじゅうくにち,ウイイアウウウウイイ,名詞
11月1日,じゅういちがつついたち,ウウイイアウウイアイ,名詞
11月21日,じゅういちがつにじゅういちにち,ウウイイアウイウウイイイイ,名詞
11月23日,じゅういちがつにじゅうさんにち,ウウイイアウイウウアンイイ,名詞
11月25日,じゅういちがつにじゅうごにち,ウウイイアウイウウオイイ,名詞
11月27日,じゅういちがつにじゅうしちにち,ウウイイアウイウウイイイイ,名詞
11月28日,じゅういちがつにじゅうはちにち,ウウイイアウイウウアイイイ,名詞
11月29日,じゅういちがつにじゅうきゅうにち,ウウイイアウイウウウウイイ,名詞
11月3日,じゅういちがつみっか,ウウイイアウイッア,名詞
11月4日,じゅういちがつよっか,ウウイイアウオッア,名詞
11月5日,じゅういちがついつか,ウウイイアウイウア,名詞
11月6日,じゅういちがつむいか,ウウイイアウウイア,名詞
11月7日,じゅういちがつなのか,ウウイイアウアオア,名詞
11月8日,じゅういちがつようか,ウウイイアウオウア,名詞
11月9日,じゅういちがつここのか,ウウイイアウオオオア,名詞
11人,じゅういちにん,ウウイイイン,名詞
11人いる!,じゅういちにんいる,ウウイイインイウ,名詞
11日,じゅういちにち,ウウイイイイ,名詞
11年,じゅういちねん,ウウイイエン,名詞
1200年,せんにひゃくねん,エンイアウエン,名詞
1203年,せんにひゃくさんねん,エンイアウアンエン,名詞
1205年,せんにひゃくごねん,エンイアウオエン,名詞
意,い,イ,名詞
1212年,せんにひゃくじゅうにねん,エンイアウウウイエン,名詞
1213年,せんにひゃくじゅうさんねん,エンイアウウウアンエン,名詞
1219年,せんにひゃくじゅうきゅうねん,エンイアウウウウウエン,名詞
1220年,せんにひゃくにじゅうねん,エンイアウイウウエン,名詞
1221年,せんにひゃくにじゅういちねん,エンイアウイウウイイエン,名詞
1224年,せんにひゃくにじゅうよんねん,エンイアウイウウオンエン,名詞
1226年,せんにひゃくにじゅうろくねん,エンイアウイウウオウエン,名詞
1232年,せんにひゃくさんじゅうにねん,エンイアウアンウウイエン,名詞
1240年,せんにひゃくよんじゅうねん,エンイアウオンウウエン,名詞
1247年,せんにひゃくよんじゅうななねん,エンイアウオンウウアアエン,名詞
アド,あど,アオ,名詞
1252年,せんにひゃくごじゅうにねん,エンイアウオウウイエン,名詞
1260年,せんにひゃくろくじゅうねん,エンイアウオウウウエン,名詞
1268年,せんにひゃくろくじゅうはちねん,エンイアウオウウウアイエン,名詞
1271年,せんにひゃくななじゅういちねん,エンイアウアアウウイイエン,名詞
1272年,せんにひゃくななじゅうにねん,エンイアウアアウウイエン,名詞
1274年,せんにひゃくななじゅうよんねん,エンイアウアアウウオンエン,名詞
1281年,せんにひゃくはちじゅういちねん,エンイアウアイウウイイエン,名詞
1285年,せんにひゃくはちじゅうごねん,エンイアウアイウウオエン,名詞
1286年,せんにひゃくはちじゅうろくねん,エンイアウアイウウオウエン,名詞
1290年,せんにひゃくきゅうじゅうねん,エンイアウウウウウエン,名詞
1293年,せんにひゃくきゅうじゅうさんねん,エンイアウウウウウアンエン,名詞
1297年,せんにひゃくきゅうじゅうななねん,エンイアウウウウウアアエン,名詞
12月,じゅうにがつ,ウウイアウ,名詞
12月10日,じゅうにがつとおか,ウウイアウオオア,名詞
12月11日,じゅうにがつじゅういちにち,ウウイアウウウイイイイ,名詞
12月12日,じゅうにがつじゅうににち,ウウイアウウウイイイ,名詞
12月13日,じゅうにがつじゅうさんにち,ウウイアウウウアンイイ,名詞
12月14日,じゅうにがつじゅうよっか,ウウイアウウウオッア,名詞
12月15日,じゅうにがつじゅうごにち,ウウイアウウウオイイ,名詞
12月16日,じゅうにがつじゅうろくにち,ウウイアウウウオウイイ,名詞
12月17日,じゅうにがつじゅうななにち,ウウイアウウウアアイイ,名詞
12月18日,じゅうにがつじゅうはちにち,ウウイアウウウアイイイ,名詞
12月19日,じゅうにがつじゅうきゅうにち,ウウイアウウウウウイイ,名詞
12月1日,じゅうにがつついたち,ウウイアウウイアイ,名詞
12月20日,じゅうにがつはつか,ウウイアウアウア,名詞
12月21日,じゅうにがつにじゅういちにち,ウウイアウイウウイイイイ,名詞
12月22日,じゅうにがつにじゅうににち,ウウイアウイウウイイイ,名詞
12月23日,じゅうにがつにじゅうさんにち,ウウイアウイウウアンイイ,名詞
12月24日,じゅうにがつにじゅうよっか,ウウイアウイウウオッア,名詞
12月25日,じゅうにがつにじゅうごにち,ウウイアウイウウオイイ,名詞
12月26日,じゅうにがつにじゅうろくにち,ウウイアウイウウオウイイ,名詞
12月27日,じゅうにがつにじゅうしちにち,ウウイアウイウウイイイイ,名詞
12月28日,じゅうにがつにじゅうはちにち,ウウイアウイウウアイイイ,名詞
12月29日,じゅうにがつにじゅうきゅうにち,ウウイアウイウウウウイイ,名詞
12月2日,じゅうにがつふつか,ウウイアウウウア,名詞
12月30日,じゅうにがつさんじゅうにち,ウウイアウアンウウイイ,名詞
1番,いちばん,イイアン,名詞
12月31日,じゅうにがつさんじゅういちにち,ウウイアウアンウウイイイイ,名詞
12月3日,じゅうにがつみっか,ウウイアウイッア,名詞
12月4日,じゅうにがつよっか,ウウイアウオッア,名詞
12月5日,じゅうにがついつか,ウウイアウイウア,名詞
12月6日,じゅうにがつむいか,ウウイアウウイア,名詞
12月7日,じゅうにがつなのか,ウウイアウアオア,名詞
12月8日,じゅうにがつようか,ウウイアウオウア,名詞
12月9日,じゅうにがつここのか,ウウイアウオオオア,名詞
12月生まれの少年,じゅうにがつうまれのしょうねん,ウウイアウウアエオオウエン,名詞
12歳。,じゅうにさい,ウウイアイ,名詞
12歳,じゅうにさい,ウウイアイ,名詞
12世紀,じゅうにせいき,ウウイエイイ,名詞
12年,じゅうにねん,ウウイエン,名詞
12分,じゅうにふん,ウウイウン,名詞
13.,じゅうさん,ウウアン,名詞
1305年,せんさんびゃくごねん,エンアンアウオエン,名詞
130種,ひゃくさんじゅうしゅ,アウアンウウウ,名詞
130万,ひゃくさんじゅうまん,アウアンウウアン,名詞
1317年,せんさんびゃくじゅうななねん,エンアンアウウウアアエン,名詞
1324年,せんさんびゃくにじゅうよんねん,エンアンアウイウウオンエン,名詞
1325年,せんさんびゃくにじゅうごねん,エンアンアウイウウオエン,名詞
1331年,せんさんびゃくさんじゅういちねん,エンアンアウアンウウイイエン,名詞
1333年,せんさんびゃくさんじゅうさんねん,エンアンアウアンウウアンエン,名詞
1334年,せんさんびゃくさんじゅうよんねん,エンアンアウアンウウオンエン,名詞
1335年,せんさんびゃくさんじゅうごねん,エンアンアウアンウウオエン,名詞
1336年,せんさんびゃくさんじゅうろくねん,エンアンアウアンウウオウエン,名詞
1338年,せんさんびゃくさんじゅうはちねん,エンアンアウアンウウアイエン,名詞
